nco_code,title
1431.9900,"Sports, Recreation and Cultural Centre Manager,"
2111.01,
2111.01,"Physicist, General"
2111.0100,"Physicist, General"
2111.0100,
2111.02,
2111.02,"Physicist, Mechanics"
2111.0200,
2111.0200,"Physicist, Mechanics"
2111.03,
2111.03,"Physicist, Heat"
2111.0300,"Physicist, Heat"
2111.0300,
2111.04,
2111.04,"Physicist, Light"
2111.0400,"Physicist, Light"
2111.0400,
2111.05,"Physicist, Sound"
2111.05,
2111.0500,"Physicist, Sound"
2111.0500,
2111.06,
2111.06,"Physicist, Electricity and Magnetism"
2111.0600,
2111.0600,"Physicist, Electricity and Magnetism"
2111.07,"Physicist, Electronics"
2111.07,
2111.0700,
2111.0700,"Physicist, Electronics"
2111.08,"Physicist, Nuclear"
2111.08,
2111.0800,
2111.0800,"Physicist, Nuclear"
2111.09,
2111.09,Astronomer
2111.0900,Astronomer
2111.0900,
2111.1,
2111.1,Metrologist
2111.1000,Metrologist
2111.1000,
2111.11,
2111.11,Material Scientist
2111.1100,Material Scientist
2111.1100,
2111.99,
2111.99,"Physicists and Astronomers, Other"
2111.9900,"Physicists and Astronomers, Other"
2111.9900,
2112.01,Meteorologist
2112.01,
2112.0100,Meteorologist
2112.0100,
2112.99,"Meteorologists, Other"
2112.99,
2112.9900,"Meteorologists, Other"
2112.9900,
2113.01,"Chemist, General"
2113.01,
2113.0100,
2113.0100,"Chemist, General"
2113.02,
2113.02,"Chemist, Organic"
2113.0200,
2113.0200,"Chemist, Organic"
2113.03,
2113.03,"Chemist, Inorganic"
2113.0300,"Chemist, Inorganic"
2113.0300,
2113.04,
2113.04,"Chemist, Physical"
2113.0400,
2113.0400,"Chemist, Physical"
2113.05,"Chemist, Analytical"
2113.05,
2113.0500,"Chemist, Analytical"
2113.0500,
2113.06,"Chemist, Industrial"
2113.06,
2113.0600,
2113.0600,"Chemist, Industrial"
2113.0601,Quality Control
2113.0601,Quality Control Chemist
2113.0621,Lab Chemist -Finished Product
2113.0621,Lab Chemist – Finished Product Testing
2113.0621,Lab Chemist –
2113.0622,Labeller
2113.0622,Lab Chemist – Incoming Raw Material Testing
2113.0622,Lab Chemist -Incoming raw material
2113.0623,Lab Chemist –
2113.0623,Lab Chemist – Compound Testing – Batch
2113.0623,Lab Chemist -Compound testing –
2113.0624,Lab Chemist – Cured Compound Testing
2113.0624,Lab Chemist -Cured compound
2113.0624,Lab Chemist –
2113.08,
2113.08,"Chemist, Forensic Science"
2113.0800,
2113.0800,"Chemist, Forensic Science"
2113.0901,Quality Assurance Chemist
2113.0901,Quality Assurance
2113.99,
2113.99,"Chemists, Other"
2113.9900,"Chemists, Other"
2113.9900,
2114.01,Geologist
2114.01,
2114.0100,
2114.0100,Geologist
2114.02,
2114.02,Petrologists
2114.0200,Petrologists
2114.0200,
2114.03,Palaeontologist
2114.03,
2114.0300,Palaeontologist
2114.0300,
2114.04,
2114.04,Geophysicist
2114.0400,Geophysicist
2114.0400,
